"BVD_ID_NUMBER","YEAR_LAST_ACCOUNTS","OPRE","OPRE","OPRE","TOAS","TOAS","TOAS","EMPL","EMPL","EMPL","PLBT","PLBT","PLBT","PL","PL","PL","RSHF","RSHF","RSHF"
"DE6190007083",2017,25415556.5700531,19357484.3158722,17707704.4731379,34043317.7046776,27553108.3931923,25350378.0299425,48899,44971,46679,3425199.58305359,2943045.97091675,2013006.18326664,-274639.602422714,1949030.0860405,1715791.10050201,23.058,24.536,19.113
"US811789115",2018,13403000,11652000,9318000,16132000,17447000,16741000,14000,14600,14000,1625000,1159000,-162000,250000,217000,-400000,28.925,25.625,-2.865
"CN30942PC",2018,5185923.25222501,5055675.88546753,5347394.28501382,12654354.5244472,12121920.8538666,10306415.0728226,49710,49672,51119,423672.126889974,423534.142799377,381579.056747854,187938.426668823,187708.085021973,166923.085016906,8.302,8.851,9.156
"US940479804",2018,4727800,2878600,2538900,9974300,9206300,6139300,7300,7000,5900,743700,180800,180800,502100,535800,209100,23.828,6.742,9.235
"CN31147PC",2018,1697777.66568393,1721303.47259521,1220083.65868792,3891905.11981919,3951831.54573822,2887471.86581388,32581,22325,18871,158680.436604649,149431.779174805,95440.1611790061,122093.831119448,110301.612548828,83907.4546426535,9.22,8.563,7.606
"JP7010401038697",2016,1595350.36010388,1256947.46836089,1131038.23386692,1637170.97773682,1696111.08090263,1288302.41100118,6458,6528,4855,60589.0254182741,24647.0733359456,52218.8003063202,36073.1831993908,9642.19079352915,29248.1896486133,13.267,2.503,5.318
"FI19992126",2018,1299232.15469122,1310474.64439869,1134421.94623947,1312972.16161489,1265860.70024967,1120402.42209435,3154,3161,3469,438535.220980644,343719.257879257,327719.553136826,378193.690574169,271041.703701019,262470.7903862,49.541,42.166,48.472
"CN30870PC",2018,1122994.77992591,1084298.60649872,996552.323206812,3159371.31740221,3254245.10381317,2522626.24105528,13832,14207,14392,82538.7445895076,97856.2845535278,83883.5690620542,69944.4059722722,83303.6404418945,66248.5283496976,7.148,8.566,9.296
"SE5560123928",2018,644023.142635822,663681.758530438,539184.733006358,249101.184330881,263425.919833779,181788.082590699,637,632,683,-11612.067759037,13206.6273748875,-2670.43316662312,-10048.9047914743,10441.0328969359,-1997.30745106936,-74.82,68.825,-33.658
